de,0,0,320,268
di,0,269,320,268
do,321,0,320,268
du,321,269,320,268
e,0,538,320,268
fu,321,538,320,268
ga,642,0,320,268
ge,642,269,320,268
gi,642,538,320,268
go,0,807,320,268
gu,321,807,320,268
ha,642,807,320,268
he,963,0,320,268
hi,963,269,320,268
ho,963,538,320,268
i,963,807,320,268
ji,0,1076,320,268
ka,321,1076,320,268
ke,642,1076,320,268
ki,963,1076,320,268
ko,1284,0,320,268
ku,1284,269,320,268
ma,1284,538,320,268
me,1284,807,320,268
mi,1284,1076,320,268
mo,0,1345,320,268
mu,321,1345,320,268
n,642,1345,320,268
na,963,1345,320,268
ne,1284,1345,320,268
ni,0,1614,320,268
no,321,1614,320,268
nu,642,1614,320,268
o,963,1614,320,268
pa,1284,1614,320,268
pe,1605,0,320,268
pi,1605,269,320,268
po,1605,538,320,268
pu,1605,807,320,268
ra,1605,1076,320,268
re,1605,1345,320,268
ri,1605,1614,320,268
ro,0,1883,320,268
ru,321,1883,320,268
sa,642,1883,320,268
se,963,1883,320,268
shi,1284,1883,320,268
so,1605,1883,320,268
su,1926,0,320,268
ta,1926,269,320,268
te,1926,538,320,268
to,1926,807,320,268
tsu,1926,1076,320,268
u,1926,1345,320,268
wa,1926,1614,320,268
wo,1926,1883,320,268
ya,0,2152,320,268
yo,321,2152,320,268
yu,642,2152,320,268
za,963,2152,320,268
ze,1284,2152,320,268
zo,1605,2152,320,268
zu,1926,2152,320,268
a,2247,0,320,268
ba,2247,269,320,268
be,2247,538,320,268
bi,2247,807,320,268
bo,2247,1076,320,268
bu,2247,1345,320,268
chi,2247,1614,320,268
da,2247,1883,320,268
