ro,0,0,320,268
ru,0,269,320,268
sa,321,0,320,268
se,321,269,320,268
shi,0,538,320,268
so,321,538,320,268
su,642,0,320,268
ta,642,269,320,268
te,642,538,320,268
to,0,807,320,268
tsu,321,807,320,268
u,642,807,320,268
wa,963,0,320,268
wo,963,269,320,268
ya,963,538,320,268
yo,963,807,320,268
yu,0,1076,320,268
za,321,1076,320,268
ze,642,1076,320,268
zo,963,1076,320,268
zu,1284,0,320,268
a,1284,269,320,268
ba,1284,538,320,268
be,1284,807,320,268
bi,1284,1076,320,268
bo,0,1345,320,268
bu,321,1345,320,268
chi,642,1345,320,268
da,963,1345,320,268
de,1284,1345,320,268
di,0,1614,320,268
do,321,1614,320,268
du,642,1614,320,268
e,963,1614,320,268
fu,1284,1614,320,268
ga,1605,0,320,268
ge,1605,269,320,268
gi,1605,538,320,268
go,1605,807,320,268
gu,1605,1076,320,268
ha,1605,1345,320,268
he,1605,1614,320,268
hi,0,1883,320,268
ho,321,1883,320,268
i,642,1883,320,268
ji,963,1883,320,268
ka,1284,1883,320,268
ke,1605,1883,320,268
ki,1926,0,320,268
ko,1926,269,320,268
ku,1926,538,320,268
ma,1926,807,320,268
me,1926,1076,320,268
mi,1926,1345,320,268
mo,1926,1614,320,268
mu,1926,1883,320,268
n,0,2152,320,268
na,321,2152,320,268
ne,642,2152,320,268
ni,963,2152,320,268
no,1284,2152,320,268
nu,1605,2152,320,268
o,1926,2152,320,268
pa,2247,0,320,268
pe,2247,269,320,268
pi,2247,538,320,268
po,2247,807,320,268
pu,2247,1076,320,268
ra,2247,1345,320,268
re,2247,1614,320,268
ri,2247,1883,320,268
